name,id
ABI1,NM_001348033
ABI1,NM_001348034
ABI1,NM_001410909
ABI1,NM_005470
ABI1,NR_145410
ABI1,XM_054364455
ABI1,XM_054364456
ABI1,XM_054364457
ABI1,XM_054364458
ABI1,XM_054364459
ABI1,XM_054364460
ABI1,XM_054364461
ABI1,XM_054364462
ABI1,XM_054364463
ABI2,NM_001282925
ABI2,NM_001282926
ABI2,NM_001282927
ABI2,NM_001282932
ABI2,NM_001375662
ABI2,NM_001375663
ABI2,NM_001375664
ABI2,NM_001375665
ABI2,NM_001375666
ABI2,NM_001375667
ABI2,NM_001375668
ABI2,NM_001375669
ABI2,NM_001375670
ABI2,NM_001375671
ABI2,NM_001375672
ABI2,NM_001375673
ABI2,NM_001375674
ABI2,NM_001375675
ABI2,NM_001375676
ABI2,NM_001375677
ABI2,NM_001375678
ABI2,NM_001375679
ABI2,NM_001375680
ABI2,NM_001375681
ABI2,NM_001375682
ABI2,NM_001375683
ABI2,NM_001375684
ABI2,NM_001375685
ABI2,NM_001375686
ABI2,NM_001375687
ABI2,NM_001375688
ABI2,NM_001375689
ABI2,NM_001375690
ABI2,NM_001375691
ABI2,NM_001375692
ABI2,NM_001375693
ABI2,NM_001375695
ABI2,NM_001375696
ABI2,NM_001375698
ABI2,NM_001375699
ABI2,NM_001375702
ABI2,NM_001375704
ABI2,NM_001375706
ABI2,NM_001375707
ABI2,NM_001375708
ABI2,NM_001375709
ABI2,NM_001375710
ABI2,NM_001375711
ABI2,NM_001375712
ABI2,NM_001375714
ABI2,NM_001375717
ABI2,NM_001375719
ABI2,NM_001375721
ABI2,NM_001375722
ABI2,NM_001375723
ABI2,NM_001375724
ABI2,NM_001375725
ABI2,NM_001375726
ABI2,NM_001375727
ABI2,NM_001375728
ABI2,NM_001375729
ABI2,NM_001375730
ABI2,NM_001375731
ABI2,NM_001375732
ABI2,NM_001375733
ABI2,NM_001375734
ABI2,NM_001375735
ABI2,NM_001375736
ABI2,NM_001375737
ABI2,NM_001375738
ABI2,NM_001375739
ABI2,NM_001375740
ABI2,NM_001375741
ABI2,NM_001375742
ABI2,NM_001375743
ABI2,NM_001375744
ABI2,NM_001375745
ABI2,NM_001375746
ABI2,NM_001375747
ABI2,NM_001375748
ABI2,NM_001375749
ABI2,NM_001375750
ABI2,NM_001375751
ABI2,NM_001375752
ABI2,NM_001375753
ABI2,NM_001375754
ABI2,NM_001375755
ABI2,NM_005759
ABI2,NR_164704
ABI2,NR_164705
ABI2,NR_164706
ABI2,NR_164707
ABI2,NR_164708
ABI2,NR_164709
ABI2,NR_164710
ABI2,NR_164711
ABI2,NR_164712
ABI2,NR_164713
ABI2,NR_164714
ABI2,NR_164715
ABI2,NR_164716
ABI2,NR_164717
ABI2,NR_164718
ABI2,XM_054340092
ABI2,XM_054340093
ABI2,XM_054340094
ABI2,XM_054340095
ABI2,XM_054340096
ABI2,XM_054340097
ABI2,XM_054340098
ABI2,XM_054340099
ABI2,XM_054340100
ABI2,XM_054340101
ABI2,XM_054340102
ABI2,XM_054340103
ABI2,XM_054340104
ABI2,XM_054340105
ABI2,XM_054340106
ABI2,XM_054340107
ABI2,XM_054340108
ABI2,XM_054340109
ABI2,XM_054340110
ABI2,XM_054340111
ABI3,NM_001135186
ABI3,NM_016428
ABI3,XM_054316359
ABI3,XM_054316360
ABI3,XM_054316361
ABI3BP,NM_001349329
ABI3BP,NM_001349330
ABI3BP,NM_001349331
ABI3BP,NM_001349332
ABI3BP,NM_001365642
ABI3BP,NM_001365643
ABI3BP,NM_001375547
ABI3BP,NM_001375549
ABI3BP,NM_001375550
ABI3BP,NM_001377332
ABI3BP,NM_015429
ABI3BP,XM_054346038
ABI3BP,XM_054346039
ABI3BP,XM_054346040
ABI3BP,XM_054346041
ABI3BP,XM_054346042
ABI3BP,XM_054346043
ABI3BP,XM_054346044
ABI3BP,XM_054346045
ABI3BP,XM_054346046
ABI3BP,XM_054346047
ABI3BP,XM_054346048
ABI3BP,XM_054346049
ABI3BP,XM_054346050
ABI3BP,XM_054346051
ABI3BP,XM_054346052
ABI3BP,XM_054346053
ABI3BP,XM_054346054
ABI3BP,XM_054346055
ABI3BP,XM_054346056
ABI3BP,XM_054346057
ABI3BP,XM_054346058
ABI3BP,XM_054346059
ABI3BP,XM_054346060
ABI3BP,XM_054346061
ABI3BP,XM_054346062
ABI3BP,XM_054346063
ABI3BP,XM_054346064
ABI3BP,XM_054346065
ABI3BP,XM_054346066
ABI3BP,XM_054346067
ABI3BP,XM_054346068
ABI3BP,XM_054346069
ABI3BP,XM_054346070
ABI3BP,XM_054346071
ABI3BP,XM_054346072
ABI3BP,XM_054346073
ABI3BP,XM_054346074
ABI3BP,XM_054346075
ABI3BP,XM_054346076
ABI3BP,XM_054346077
ABI3BP,XM_054346078
ABI3BP,XM_054346079
ABI3BP,XM_054346080
ABI3BP,XM_054346081
ABI3BP,XM_054346082
ABI3BP,XM_054346083
ABI3BP,XM_054346084
ABITRAM,NM_001410990
ABITRAM,NM_017832
ABL1,NM_005157
ABL1,NM_007313
ABL2,NM_001136000
ABL2,NM_001136001
ABL2,NM_001168236
ABL2,NM_001168237
ABL2,NM_001168238
ABL2,NM_001168239
ABL2,NM_005158
ABL2,NM_007314
ABL2,XM_054335990
ABL2,XM_054335991
ABL2,XR_008485995
ABL2,XR_008485996
ABL2,XR_008485997
ABLIM1,NM_001003407
ABLIM1,NM_001322882
ABLIM1,NM_001322883
ABLIM1,NM_001322884
ABLIM1,NM_001322885
ABLIM1,NM_001322886
ABLIM1,NM_001322887
ABLIM1,NM_001322888
ABLIM1,NM_001322889
ABLIM1,NM_001322890
ABLIM1,NM_001322891
ABLIM1,NM_001322892
ABLIM1,NM_001322893
ABLIM1,NM_001322894
ABLIM1,NM_001322895
ABLIM1,NM_001322896
ABLIM1,NM_001322897
ABLIM1,NM_001322898
ABLIM1,NM_001322899
ABLIM1,NM_001322900
ABLIM1,NM_001352440
ABLIM1,NM_001352441
ABLIM1,NM_001352442
ABLIM1,NM_001352443
ABLIM1,NM_002313
ABLIM1,NM_006720
ABLIM1,XM_054365907
ABLIM1,XM_054365908
ABLIM1,XM_054365909
ABLIM1,XM_054365910
ABLIM1,XM_054365911
ABLIM1,XM_054365912
ABLIM1,XM_054365913
ABLIM1,XM_054365914
ABLIM1,XM_054365915
ABLIM1,XM_054365916
ABLIM1,XM_054365917
ABLIM1,XM_054365918
ABLIM1,XM_054365919
ABLIM1,XM_054365920
ABLIM1,XM_054365921
ABLIM1,XM_054365922
ABLIM1,XM_054365923
ABLIM1,XM_054365924
ABLIM1,XM_054365925
ABLIM1,XM_054365926
ABLIM1,XM_054365927
ABLIM1,XM_054365928
ABLIM1,XM_054365929
ABLIM1,XM_054365930
ABLIM1,XM_054365931
ABLIM1,XM_054365932
ABLIM1,XM_054365933
ABLIM1,XM_054365934
ABLIM1,XM_054365935
ABLIM1,XM_054365936
ABLIM1,XM_054365937
ABLIM1,XM_054365938
ABLIM1,XM_054365939
ABLIM1,XM_054365940
ABLIM2,NM_001130083
ABLIM2,NM_001130084
ABLIM2,NM_001130085
ABLIM2,NM_001130086
ABLIM2,NM_001130087
ABLIM2,NM_001130088
ABLIM2,NM_001286688
ABLIM2,NM_032432
ABLIM2,XM_054351048
ABLIM2,XM_054351049
ABLIM2,XM_054351050
ABLIM2,XM_054351051
ABLIM2,XM_054351052
ABLIM2,XM_054351053
ABLIM2,XM_054351054
ABLIM2,XM_054351055
ABLIM2,XM_054351056
ABLIM2,XM_054351057
ABLIM2,XM_054351058
ABLIM2,XM_054351059
ABLIM2,XM_054351060
ABLIM2,XM_054351061
ABLIM2,XM_054351062
ABLIM2,XM_054351063
ABLIM2,XM_054351064
ABLIM2,XM_054351065
ABLIM2,XM_054351066
ABLIM2,XM_054351067
ABLIM2,XM_054351068
ABLIM2,XM_054351069
ABLIM2,XM_054351070
ABLIM2,XM_054351071
ABLIM2,XM_054351072
ABLIM2,XM_054351073
ABLIM2,XM_054351074
ABLIM2,XM_054351075
ABLIM2,XM_054351076
ABLIM2,XM_054351077
ABLIM2,XM_054351078
ABLIM2,XM_054351079
ABLIM2,XM_054351080
ABLIM2,XM_054351081
ABLIM2,XM_054351082
ABLIM2,XM_054351083
ABLIM2,XM_054351084
ABLIM2,XM_054351085
ABLIM2,XM_054351086
ABLIM2,XM_054351087
ABLIM2,XM_054351088
ABLIM2,XM_054351089
ABLIM2,XM_054351090
ABLIM3,NM_001301015
ABLIM3,NM_001301018
ABLIM3,NM_001301028
ABLIM3,NM_001345858
ABLIM3,NM_001345859
ABLIM3,NM_001345860
ABLIM3,NM_001345861
ABLIM3,NM_001370417
ABLIM3,NM_001370418
ABLIM3,NM_014945
ABLIM3,XM_054352093
ABLIM3,XM_054352094
ABLIM3,XM_054352095
ABLIM3,XM_054352096
ABO,NM_020469
ABR,NM_001092
ABR,NM_001159746
ABR,NM_001256847
